VENUE,H_TEAM,LAT,LNG,LOCATION,MANUAL_ENTRY
ŠD Rogaška Slatina,Rogaška,46.2331941,15.6378802,"Rogaška Slatina, Šmarje pri Jelšah, Slovenia",False
ŠD Rogaška Slatina,Rogaška Crystal,46.2331941,15.6378802,"Rogaška Slatina, Šmarje pri Jelšah, Slovenia",False
ŠD Zagorje ob Savi,Zagorje,46.1345186,14.9945975,"Zagorje ob Savi, Zagorje ob Savi, Slovenia",False
ŠD Zagorje ob Savi,Zagorje KD FT,46.1345186,14.9945975,"Zagorje ob Savi, Zagorje ob Savi, Slovenia",False
ŠD Šenčur,Gorenjska gradbena družba Šenčur,46.249123452749934,14.419544179506241,"Šenčur,Slovenia",True
ŠD Šenčur,Šentjur,46.249123452749934,14.419544179506241,"Šenčur,Slovenia",True
ŠD Šenčur,Šenčur CP Kranj,46.249123452749934,14.419544179506241,"Šenčur,Slovenia",True
ŠD Šenčur,Šenčur Gorenjska gradbena družba,46.249123452749934,14.419544179506241,"Šenčur,Slovenia",True
ŠD Šoštanj,Elektra Esotech,46.3788792,15.0500931,"Velenje, Slovenia",False
ŠD Šoštanj,Elektra Šoštanj,46.3788792,15.0500931,"Velenje, Slovenia",False
Športna dvorana Zreče,Rogla Zreče,46.3696591,15.3918526,"Zreče, Slovenske Konjice, Slovenia",False
